PROVINCE	MUNICIPALITY/CITY	BARANGAY	HOUSEHOLD ID	FIRST NAME	MIDDLE NAME	LAST NAME	SEX	AGE	SOCIAL SERVICE / PROGRAM	TYPE OF ASSISTANCE PROVIDED	"SPECIFY (name of skill training, name of training, specific assistance, goods, amount, and others)"	"REMARKS (specify agency, individual, organization who provided the assistance and any other pertinent details)"	DATE RECEIVED (MM/DD/YYYY)
Laguna	Bay	San Antonio	892	Ana	Pérez	Cruz	Female	30	EDUCATIONAL_ASSISTANCE	Food for Work	Enhanced support	Private Donor - Annual assistance. Contact: regional office	07/11/2021
Laguna	Santa Rosa	Real	542	Ana	Gómez	Pérez	Female	65	SOCIAL_PENSION	Insurance	Standard package	Red Cross - Emergency response. Contact: local coordinator	02/18/2021
Laguna	Pangil	Milagrosa	264	Janna	García	López	Male	60	AICS	Activity Involvement/Advocacy	Enhanced support	Private Donor - Special initiative. Contact: main branch	04/04/2021
Laguna	Alaminos	San Benito (Palita)	610	Clara	García	Santos	Male	37	OTHER_CAPABILITY_BUILDING_SUPPORT	Medical Assistance	"PHP 10,000"	DSWD - Regular program. Contact: regional office	07/20/2023
Laguna	Luisiana	Turbina	825	Juan	García	Reyes	Female	76	EDUCATIONAL_ASSISTANCE	Alternative Learning System	Enhanced support	Private Donor - Special initiative	06/16/2021
Laguna	Santa Cruz	Casile	879	Pedro	Reyes	Cruz	Male	65	AICS	Job Referral	Level 1 support	Private Donor - Emergency response	02/26/2025
Laguna	Pila	Saimsim	329	María	Pérez	Santos	Female	69	LIVELIHOOD_ASSISTANCE	Job Referral	Enhanced support	Private Donor - Annual assistance. Contact: local coordinator	09/11/2021
Laguna	Siniloan	Sirang Lupa	115	James	Reyes	García	Female	19	EDUCATIONAL_ASSISTANCE	Insurance	Basic assistance	Anonymous Donor - Special initiative. Contact: local coordinator	02/26/2021
Laguna	Luisiana	Casile	276	Juan	García	Galang	Male	21	KALAHI	Honorarium	Standard package	Anonymous Donor - Regular program. Contact: local coordinator	01/06/2021
Laguna	San Pedro	San José	488	María	López	López	Female	44	DISASTER_RELIEF_ASSISTANCE	Financial	"PHP 5,000"	USAID - Special initiative. Contact: regional office	08/26/2021
Laguna	Nagcarlan	San Benito (Palita)	281	Juan	Cruz	Santos	Male	77	SOCIAL_PENSION	Medical Supplies	"PHP 10,000"	Anonymous Donor - Emergency response. Contact: local coordinator	01/03/2023
Laguna	Santa Maria	Palingon	275	Clara	Gómez	García	Female	42	PWD_ASSISTANCE	Agricultural and Fisheries	Standard package	DA - Annual assistance	06/01/2024
Laguna	Santa Maria	Palo-Alto	773	María	Santos	Cruz	Female	21	OTHER_CAPABILITY_BUILDING_SUPPORT	Vaccination	Basic assistance	UNICEF - Regular program	08/13/2022
Laguna	Liliw	San Vicente	843	Clara	Pérez	Cruz	Male	77	AICS	Tutorial Sessions	Level 1 support	Caritas - Regular program. Contact: local coordinator	01/20/2021
Laguna	Santa Rosa	Calo	719	María	López	García	Male	49	KALAHI	Surgical Procedures	Crutches	Community Organization - Emergency response	02/16/2023
Laguna	Santa Rosa	San Isidro	896	Juan	Carn	López	Female	34	SLP	Parent Effectiveness Trainings	Enhanced support	Local Government - Regular program. Contact: regional office	05/12/2024
Laguna	Majayjay	San Miguel	328	Janna	Reyes	García	Female	18	SOCIAL_PENSION	"Non-Food Items (Hygiene Kits, Clothes, Household Items)"	Enhanced support	DepEd - Annual assistance. Contact: main branch	05/22/2021
Laguna	Magdalena	Paciano Rizal	211	Juan	Cruz	Galang	Male	50	DISASTER_RELIEF_ASSISTANCE	Dental Services	Standard package	Red Cross - Special initiative. Contact: main branch	01/11/2022
Laguna	Victoria	San Gregorio	727	Clara	Cruz	Cruz	Female	47	PWD_ASSISTANCE	Insurance	Basic assistance	DepEd - Regular program. Contact: local coordinator	02/11/2022
Laguna	Victoria	Casile	923	Juan	Carn	García	Male	22	OTHER_CAPABILITY_BUILDING_SUPPORT	Voucher	Standard package	Provincial Government - Special initiative. Contact: regional office	03/27/2023
Laguna	Magdalena	Milagrosa	552	Miguel	Carn	Reyes	Male	71	PWD_ASSISTANCE	Agricultural and Fisheries	Standard package	DA - Emergency response. Contact: local coordinator	03/21/2021
Laguna	Victoria	Timbao	992	Miguel	Pérez	Reyes	Male	29	MEDICAL_SERVICES	Transportation Allowance	Enhanced support	Red Cross - Pilot program. Contact: regional office	07/29/2021
Laguna	Pagsanjan	Palma	26	María	Cruz	García	Female	55	DISASTER_RELIEF_ASSISTANCE	Food Items	Rice (10kg)	DOH - Pilot program. Contact: regional office	02/07/2023
Laguna	Luisiana	Sirang Lupa	27	Miguel	Carn	Galang	Male	49	DISASTER_RELIEF_ASSISTANCE	Activity Involvement/Advocacy	Enhanced support	UNICEF - Annual assistance. Contact: local coordinator	08/28/2024
Laguna	Rizal	Palo-Alto	702	James	Cruz	Cruz	Female	55	OTHER_CAPABILITY_BUILDING_SUPPORT	Job Referral	Standard package	DOLE - Emergency response. Contact: regional office	01/12/2022
Laguna	Pakil	San Miguel	83	María	López	Reyes	Male	74	SOCIAL_PENSION	Medical Supplies	"PHP 10,000"	DOH - Annual assistance. Contact: main branch	02/09/2021
Laguna	San Pedro	San Andrés	896	Miguel	Pérez	García	Female	34	SOCIAL_PENSION	Medical Assistance	"PHP 3,000"	Red Cross - Annual assistance. Contact: regional office	10/08/2024
Laguna	Biñan	San Vicente	946	Ana	Gómez	Pérez	Female	75	SLP	Consultation/Medical Check-Up	"PHP 10,000"	DepEd - Annual assistance. Contact: main branch	03/29/2022
Laguna	Calamba	Majada Labas	682	Juan	Carn	García	Male	71	SUPPLEMENTAL_FEEDING	Financial	"PHP 2,000"	World Vision - Annual assistance. Contact: local coordinator	12/17/2024
Laguna	Pagsanjan	Real	413	Pedro	López	Santos	Male	62	SOCIAL_PENSION	Food Assistance	Rice (10kg)	USAID - Pilot program	12/15/2022
Laguna	Cavinti	Timbao	167	Juan	López	García	Male	57	SOCIAL_PENSION	Capital/Starter Kit	Level 1 support	Local Government - Special initiative. Contact: local coordinator	03/27/2021
Laguna	Pangil	Paciano Rizal	700	Miguel	Carn	Galang	Female	49	MEDICAL_SERVICES	Voucher	Level 1 support	DSWD - Pilot program. Contact: local coordinator	08/24/2021
Laguna	Kalayaan	Zapote	169	Janna	Pérez	Reyes	Female	41	PWD_ASSISTANCE	Voucher	Standard package	UNICEF - Regular program. Contact: regional office	12/09/2024
Laguna	Cavinti	Palo-Alto	801	Clara	Cruz	Santos	Female	29	MEDICAL_SERVICES	Surgical Procedures	"PHP 10,000"	Caritas - Annual assistance. Contact: local coordinator	10/11/2024
Laguna	Paete	Del Carmen	979	Pedro	Gómez	Reyes	Male	64	SOCIAL_PENSION	Tutorial Sessions	Basic assistance	Private Donor - Pilot program. Contact: main branch	10/06/2022
Laguna	Cabuyao	Santo Domingo	229	María	García	Reyes	Male	48	KALAHI	Job Fair	Basic assistance	Red Cross - Special initiative	06/25/2024
Laguna	San Pedro	Looc	979	Janna	Cruz	Galang	Male	36	SLP	Capital/Starter Kit	Standard package	DSWD - Annual assistance. Contact: local coordinator	10/29/2022
Laguna	Santa Rosa	San Juan	609	Juan	Santos	García	Male	46	EDUCATIONAL_ASSISTANCE	Transportation Allowance	Standard package	DepEd - Special initiative. Contact: local coordinator	06/06/2024
Laguna	Mabitac	Sirang Lupa	367	Miguel	Carn	Galang	Male	38	MEDICAL_SERVICES	Parent Effectiveness Trainings	Basic assistance	DepEd - Annual assistance. Contact: local coordinator	04/12/2025
Laguna	Paete	San Miguel	528	María	Reyes	García	Female	43	OTHER_PROGRAM	Dental Services	Enhanced support	Anonymous Donor - Special initiative	12/27/2021
Laguna	Santa Cruz	Parian	791	María	Pérez	Santos	Male	69	EDUCATIONAL_ASSISTANCE	Insurance	Enhanced support	DepEd - Special initiative. Contact: regional office	05/18/2023
Laguna	Kalayaan	Looc	647	Ana	Carn	Galang	Female	45	AICS	Skills Training	Plumbing	Community Organization - Emergency response. Contact: main branch	01/20/2023
Laguna	Santa Cruz	San Andrés	538	Ana	Santos	Galang	Male	34	KALAHI	Skills Training	Sewing	Red Cross - Emergency response. Contact: main branch	06/24/2021
Laguna	Pangil	Lingga	864	Miguel	López	Pérez	Male	26	LIVELIHOOD_ASSISTANCE	Voucher	Basic assistance	Local Government - Pilot program. Contact: main branch	04/08/2023
Laguna	Bay	Puting Lupa	524	Miguel	Reyes	López	Male	38	SUPPLEMENTAL_FEEDING	Agricultural and Fisheries	Basic assistance	USAID - Pilot program. Contact: main branch	03/15/2023
Laguna	Pakil	Sirang Lupa	72	James	Reyes	Cruz	Male	67	AICS	"Non-Food Items (Hygiene Kits, Clothes, Household Items)"	Standard package	Provincial Government - Annual assistance. Contact: local coordinator	10/29/2024
Laguna	Santa Rosa	Makiling	645	Ana	Cruz	Galang	Male	77	LIVELIHOOD_ASSISTANCE	Food for Work	Enhanced support	DOH - Special initiative. Contact: local coordinator	03/02/2021
Laguna	Magdalena	Punta	106	Clara	García	López	Female	51	KALAHI	GAD Trainings	3-day conference	DA - Emergency response. Contact: local coordinator	04/08/2024
Laguna	Santa Rosa	Mayapa	732	Pedro	Cruz	Gómez	Male	28	MEDICAL_SERVICES	Voucher	Basic assistance	Local Government - Regular program. Contact: regional office	03/11/2025
Laguna	Cavinti	Palingon	885	María	Pérez	Cruz	Female	72	OTHER_PROGRAM	Insurance	Level 1 support	Provincial Government - Pilot program. Contact: local coordinator	02/14/2023
Laguna	Luisiana	Barangay III (Poblacion)	965	Ana	Reyes	Pérez	Female	37	LIVELIHOOD_ASSISTANCE	Skills Training	Cooking	DOH - Special initiative. Contact: regional office	02/18/2022
Laguna	Siniloan	Barangay IV (Poblacion)	689	Miguel	Gómez	García	Female	66	KALAHI	Family Development Trainings	2-day workshop	Community Organization - Special initiative. Contact: local coordinator	04/26/2021
Laguna	Famy	Masili	282	James	Gómez	Gómez	Female	70	LIVELIHOOD_ASSISTANCE	Capital/Starter Kit	Level 1 support	Anonymous Donor - Pilot program. Contact: local coordinator	04/13/2024
Laguna	Magdalena	Masili	133	Miguel	Reyes	García	Male	67	AICS	Food Items	Rice (10kg)	DSWD - Special initiative. Contact: local coordinator	12/18/2024
Laguna	Biñan	Timbao	534	Miguel	Gómez	García	Male	64	SOCIAL_PENSION	Medical Supplies	"PHP 5,000"	DOLE - Special initiative. Contact: regional office	02/26/2024
Laguna	Mabitac	Maunong	975	Miguel	Gómez	López	Male	56	SUPPLEMENTAL_FEEDING	Family Development Trainings	3-day conference	Anonymous Donor - Annual assistance. Contact: regional office	02/21/2025
Laguna	Nagcarlan	Barangay IV (Poblacion)	269	Juan	García	López	Male	33	PWD_ASSISTANCE	Parent Effectiveness Trainings	Basic assistance	Community Organization - Emergency response	10/26/2023
Laguna	Cabuyao	San Andrés	412	Pedro	Pérez	Cruz	Male	74	KALAHI	Voucher	Standard package	Provincial Government - Special initiative. Contact: regional office	09/11/2024
Laguna	Paete	San Juan	673	Ana	Carn	García	Female	46	OTHER_PROGRAM	Food Assistance	Basic Groceries	DOLE - Special initiative. Contact: regional office	11/29/2022
Laguna	Famy	San Juan	619	María	García	Reyes	Male	18	SLP	Cash for Training	Level 1 support	DOLE - Special initiative. Contact: main branch	04/10/2024
Laguna	Cabuyao	Real	791	Juan	López	Gómez	Male	77	LIVELIHOOD_ASSISTANCE	Dental Services	Level 1 support	DSWD - Annual assistance. Contact: main branch	05/07/2024
Laguna	Bay	Paciano Rizal	865	Miguel	Cruz	Galang	Female	35	SOCIAL_PENSION	Scholarship Grants	Standard package	DepEd - Special initiative. Contact: regional office	06/08/2024
Laguna	Victoria	San Benito (Palita)	747	Clara	Gómez	López	Male	76	PWD_ASSISTANCE	Burial Assistance	Enhanced support	Red Cross - Special initiative. Contact: local coordinator	03/11/2023
Laguna	Calauan	Barangay IV (Poblacion)	18	María	Carn	López	Male	39	SLP	Tutorial Sessions	Level 1 support	DOLE - Pilot program	09/19/2022
Laguna	Pila	Paciano Rizal	754	Juan	Cruz	López	Female	25	OTHER_PROGRAM	Cash for Training	Standard package	DOH - Emergency response. Contact: main branch	09/18/2024
Laguna	Liliw	Sirang Lupa	117	Clara	Gómez	Cruz	Male	24	SOCIAL_PENSION	Surgical Procedures	"PHP 3,000"	Caritas - Pilot program. Contact: regional office	01/29/2025
Laguna	Cabuyao	Uwisan	798	Clara	García	García	Female	42	SOCIAL_PENSION	Scholarship Grants	Basic assistance	USAID - Annual assistance. Contact: main branch	02/28/2022
Laguna	Pila	Masaya	794	Pedro	Carn	Reyes	Female	47	OTHER_CAPABILITY_BUILDING_SUPPORT	Alternative Learning System	Basic assistance	DSWD - Special initiative. Contact: regional office	08/29/2024
Laguna	Siniloan	Masili	144	María	García	Galang	Male	51	DISASTER_RELIEF_ASSISTANCE	Vaccination	Basic assistance	Private Donor - Emergency response	06/07/2022
Laguna	Paete	San Agustín (Antipolo)	717	Ana	López	Galang	Female	61	SOCIAL_PENSION	"Non-Food Items (Hygiene Kits, Clothes, Household Items)"	Level 1 support	World Vision - Pilot program	12/18/2024
Laguna	Santa Cruz	Santo Tomás (Calabuso)	551	Ana	Santos	García	Male	65	PWD_ASSISTANCE	Food for Work	Level 1 support	DA - Special initiative. Contact: local coordinator	06/24/2021
Laguna	Luisiana	Maunong	929	James	Reyes	Reyes	Male	58	SUPPLEMENTAL_FEEDING	Food for Work	Enhanced support	DOH - Annual assistance. Contact: local coordinator	06/17/2023
Laguna	Bay	San José	666	Juan	Pérez	Cruz	Male	69	DISASTER_RELIEF_ASSISTANCE	Agricultural and Fisheries	Basic assistance	Private Donor - Special initiative	09/14/2023
Laguna	Liliw	Timbao	688	James	Carn	López	Female	28	OTHER_PROGRAM	Cash for Training	Enhanced support	Anonymous Donor - Special initiative. Contact: local coordinator	01/09/2022
Laguna	Victoria	Santo Tomás (Calabuso)	961	Janna	Reyes	López	Female	32	KALAHI	Food for Work	Standard package	DOLE - Pilot program. Contact: regional office	09/24/2022
Laguna	Cabuyao	San Cristóbal	753	Ana	Santos	Gómez	Female	52	EDUCATIONAL_ASSISTANCE	Medical Supplies	"PHP 5,000"	DepEd - Regular program. Contact: regional office	08/25/2021
Laguna	Mabitac	San Isidro	422	Juan	Carn	Gómez	Female	40	MEDICAL_SERVICES	Mental Health Support	Basic assistance	Red Cross - Pilot program. Contact: main branch	10/07/2023
Laguna	Majayjay	Barangay I (Poblacion)	898	Pedro	Reyes	Gómez	Female	70	OTHER_PROGRAM	Cash for Work	Enhanced support	Local Government - Annual assistance	08/26/2023
Laguna	Magdalena	Parian	369	James	Reyes	Pérez	Female	62	SOCIAL_PENSION	Surgical Procedures	Wheelchair	USAID - Emergency response. Contact: local coordinator	03/19/2022
Laguna	Famy	Palma	646	Pedro	Carn	García	Female	38	PWD_ASSISTANCE	Alternative Learning System	Enhanced support	Provincial Government - Emergency response. Contact: main branch	11/28/2023
Laguna	Mabitac	Majada Labas	558	Pedro	Reyes	Galang	Female	45	LIVELIHOOD_ASSISTANCE	Agricultural and Fisheries	Standard package	USAID - Special initiative. Contact: local coordinator	02/23/2023
Laguna	Rizal	Punta	50	Miguel	Reyes	López	Female	30	AICS	Voucher	Standard package	World Vision - Special initiative. Contact: local coordinator	10/17/2023
Laguna	Santa Rosa	Majada Labas	678	Miguel	Carn	Pérez	Female	51	MEDICAL_SERVICES	Food Items	Food Pack	DOLE - Annual assistance. Contact: regional office	06/06/2023
Laguna	San Pedro	Mayapa	106	Pedro	Pérez	Galang	Female	55	OTHER_PROGRAM	Family Development Trainings	Week-long training	Provincial Government - Special initiative. Contact: regional office	04/26/2023
Laguna	Victoria	Mayapa	216	James	Reyes	Galang	Male	23	OTHER_CAPABILITY_BUILDING_SUPPORT	Cash for Training	Standard package	DepEd - Annual assistance. Contact: local coordinator	04/12/2025
Laguna	Famy	Looc	658	Miguel	Reyes	García	Female	61	SLP	Alternative Learning System	Enhanced support	Red Cross - Annual assistance. Contact: main branch	04/22/2023
Laguna	Pangil	San Benito (Palita)	923	Janna	Pérez	Santos	Male	21	AICS	Capital/Starter Kit	Standard package	Local Government - Pilot program. Contact: main branch	09/27/2022
Laguna	Majayjay	San Ildefonso	425	Clara	Cruz	Gómez	Male	22	MEDICAL_SERVICES	Agricultural and Fisheries	Basic assistance	DA - Pilot program. Contact: local coordinator	06/05/2021
Laguna	Lumban	San José	72	Clara	López	Pérez	Male	72	SUPPLEMENTAL_FEEDING	Job Referral	Level 1 support	Community Organization - Special initiative	12/30/2022
Laguna	Paete	Saimsim	988	Miguel	Cruz	Santos	Male	79	KALAHI	Surgical Procedures	Crutches	Community Organization - Regular program. Contact: regional office	05/02/2024
Laguna	Magdalena	Zapote	842	James	Gómez	Santos	Female	57	LIVELIHOOD_ASSISTANCE	Scholarship Grants	Standard package	UNICEF - Regular program. Contact: main branch	03/24/2023
Laguna	Pangil	Barangay I (Poblacion)	785	Clara	Santos	Pérez	Male	23	OTHER_CAPABILITY_BUILDING_SUPPORT	Equipment/School Materials	Uniform	Red Cross - Regular program. Contact: main branch	03/30/2024
Laguna	San Pablo	Zapote	759	María	Cruz	Reyes	Male	38	MEDICAL_SERVICES	Dental Services	Enhanced support	DA - Regular program. Contact: main branch	10/02/2022
Laguna	Santa Cruz	Parian	446	Clara	Cruz	Gómez	Male	45	SOCIAL_PENSION	GAD Trainings	Week-long training	World Vision - Emergency response. Contact: local coordinator	02/24/2024
Laguna	San Pedro	Masaya	925	Ana	Santos	García	Female	20	MEDICAL_SERVICES	Medical Supplies	Crutches	Provincial Government - Emergency response. Contact: regional office	04/20/2025
Laguna	Santa Rosa	Barangay II (Poblacion)	186	James	Reyes	Pérez	Male	40	PWD_ASSISTANCE	"Non-Food Items (Hygiene Kits, Clothes, Household Items)"	Basic assistance	DOLE - Annual assistance. Contact: local coordinator	06/16/2024
Laguna	Santa Rosa	Masili	70	Miguel	Reyes	Galang	Male	25	PWD_ASSISTANCE	Honorarium	Level 1 support	DSWD - Special initiative. Contact: main branch	12/01/2023
Laguna	Santa Rosa	Santo Domingo	974	Miguel	Cruz	Pérez	Female	36	PWD_ASSISTANCE	Capital/Starter Kit	Enhanced support	UNICEF - Annual assistance. Contact: local coordinator	07/05/2021
Laguna	Lumban	Ulango	150	Clara	Santos	López	Female	70	OTHER_PROGRAM	Values Formation	Week-long training	Provincial Government - Regular program	04/06/2022
Laguna	Kalayaan	San Agustín (Antipolo)	246	James	Reyes	Pérez	Female	28	LIVELIHOOD_ASSISTANCE	Food Assistance	Canned Goods (10 pcs)	DA - Special initiative	11/13/2024
Laguna	Siniloan	San Ildefonso	774	Janna	García	Reyes	Female	67	LIVELIHOOD_ASSISTANCE	Insurance	Standard package	DSWD - Emergency response	07/08/2024
Laguna	Magdalena	Masili	538	María	Carn	Gómez	Female	27	SLP	"Non-Food Items (Hygiene Kits, Clothes, Household Items)"	Enhanced support	Provincial Government - Annual assistance. Contact: regional office	11/30/2024
Laguna	Lumban	Looc	935	Miguel	Carn	Gómez	Female	75	OTHER_PROGRAM	Agricultural and Fisheries	Level 1 support	Private Donor - Regular program. Contact: regional office	06/30/2022
Laguna	Alaminos	San Isidro	652	James	López	Santos	Female	45	LIVELIHOOD_ASSISTANCE	GAD Trainings	2-day workshop	DSWD - Emergency response	01/12/2025
Laguna	San Pedro	Punta	99	Miguel	Carn	Cruz	Female	37	PWD_ASSISTANCE	Food Assistance	Rice (10kg)	DSWD - Regular program	11/30/2022
Laguna	Cavinti	San Miguel	910	Miguel	Cruz	Gómez	Female	61	PWD_ASSISTANCE	Leadership Skills Training	Basic assistance	DSWD - Annual assistance. Contact: main branch	11/25/2024
Laguna	Kalayaan	Zapote	278	Ana	Carn	Gómez	Male	69	EDUCATIONAL_ASSISTANCE	Mental Health Support	Level 1 support	Caritas - Annual assistance	11/03/2021
Laguna	San Pablo	Saimsim	563	Clara	Carn	Reyes	Female	45	KALAHI	Cash for Training	Level 1 support	DOH - Annual assistance. Contact: local coordinator	08/03/2023
Laguna	Alaminos	Barangay IV (Poblacion)	663	Ana	García	Reyes	Male	46	MEDICAL_SERVICES	Alternative Learning System	Enhanced support	World Vision - Special initiative. Contact: local coordinator	05/17/2021
Laguna	Luisiana	Puting Lupa	944	Clara	Reyes	García	Male	25	KALAHI	Scholarship Grants	Basic assistance	Red Cross - Pilot program	05/10/2024
Laguna	Famy	Zapote	455	Miguel	García	López	Female	36	SLP	Food Assistance	Rice (5kg)	Anonymous Donor - Special initiative. Contact: regional office	06/12/2023
Laguna	San Pablo	Timbao	104	James	Cruz	Reyes	Female	70	LIVELIHOOD_ASSISTANCE	Cash for Work	Basic assistance	USAID - Annual assistance. Contact: regional office	10/17/2022
Laguna	Los Baños	Casile	946	Pedro	Carn	Pérez	Female	65	DISASTER_RELIEF_ASSISTANCE	GAD Trainings	1-day seminar	DepEd - Annual assistance. Contact: main branch	09/13/2022
Laguna	Pagsanjan	San Cristóbal	601	Clara	Pérez	López	Female	76	SLP	Activity Involvement/Advocacy	Enhanced support	World Vision - Pilot program. Contact: local coordinator	06/06/2021
Laguna	Nagcarlan	Santa Rosa	653	Pedro	Reyes	García	Male	38	PWD_ASSISTANCE	Activity Involvement/Advocacy	Standard package	DOLE - Emergency response. Contact: local coordinator	07/02/2024
Laguna	Famy	San Agustín (Antipolo)	725	María	López	Pérez	Male	35	MEDICAL_SERVICES	Leadership Skills Training	Enhanced support	Red Cross - Pilot program. Contact: local coordinator	06/30/2021
Laguna	Biñan	San Benito (Palita)	233	Ana	López	Gómez	Female	26	AICS	Vaccination	Basic assistance	Community Organization - Emergency response. Contact: main branch	02/13/2022
Laguna	Biñan	Santo Tomás (Calabuso)	394	Pedro	Gómez	Cruz	Male	21	OTHER_CAPABILITY_BUILDING_SUPPORT	Cash for Work	Standard package	DepEd - Special initiative	05/03/2023
Laguna	Alaminos	Parian	501	Ana	Gómez	Galang	Female	58	DISASTER_RELIEF_ASSISTANCE	Technical Skills Training	Enhanced support	DA - Regular program	09/04/2023
Laguna	Santa Maria	Barangay I (Poblacion)	695	Clara	Carn	Galang	Male	42	DISASTER_RELIEF_ASSISTANCE	Skills Training	Carpentry	Private Donor - Emergency response. Contact: local coordinator	11/18/2023
